unique ID,Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type],Primary archt/firm[5][Name],Primary archt/firm[5][Role],Primary archt/firm[5][Type],Primary archt/firm_flag
17464,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17465,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17466,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17467,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17468,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17469,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17470,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17471,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17472,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17473,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17474,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17475,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17476,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17477,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17478,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17479,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17480,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17481,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17482,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17483,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17484,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17485,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17486,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17487,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17488,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17489,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17490,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17491,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17492,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17493,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17494,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17495,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17496,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17497,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17498,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17499,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17500,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17501,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17502,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
17503,SOA Student Work,SOA Student Work,contributor,person,,,,,,,,,,,,,0
