unique ID,coll code,Collection,Set type
9285,AA,"Ayres & Ayres, Architects records",
9286,AA,"Ayres & Ayres, Architects records",
9287,AA,"Ayres & Ayres, Architects records",
9288,AA,"Ayres & Ayres, Architects records",
9289,AA,"Ayres & Ayres, Architects records",
9290,AA,"Ayres & Ayres, Architects records",
9291,AA,"Ayres & Ayres, Architects records",
9292,AA,"Ayres & Ayres, Architects records",
9293,AA,"Ayres & Ayres, Architects records",
9294,AA,"Ayres & Ayres, Architects records",
9295,AA,"Ayres & Ayres, Architects records",
9296,AA,"Ayres & Ayres, Architects records",
9297,AA,"Ayres & Ayres, Architects records",
9298,AA,"Ayres & Ayres, Architects records",
9299,AA,"Ayres & Ayres, Architects records",
9300,AA,"Ayres & Ayres, Architects records",
9301,AA,"Ayres & Ayres, Architects records",presentation
9302,AA,"Ayres & Ayres, Architects records","architectural/measured
includes interiors
design/studies and sketches"
9303,AA,"Ayres & Ayres, Architects records",
9304,AA,"Ayres & Ayres, Architects records",
9305,AA,"Ayres & Ayres, Architects records",
9306,AA,"Ayres & Ayres, Architects records",
9307,AA,"Ayres & Ayres, Architects records",
9308,AA,"Ayres & Ayres, Architects records",
9309,AA,"Ayres & Ayres, Architects records",
9310,AA,"Ayres & Ayres, Architects records",
9311,AA,"Ayres & Ayres, Architects records",
9312,AA,"Ayres & Ayres, Architects records",
9313,AA,"Ayres & Ayres, Architects records",
9314,AA,"Ayres & Ayres, Architects records",
9315,AA,"Ayres & Ayres, Architects records",
9316,AA,"Ayres & Ayres, Architects records",
9317,AA,"Ayres & Ayres, Architects records",
9318,AA,"Ayres & Ayres, Architects records",
9319,AA,"Ayres & Ayres, Architects records",
9320,AA,"Ayres & Ayres, Architects records",
9321,AA,"Ayres & Ayres, Architects records",site/landscape 
9322,AA,"Ayres & Ayres, Architects records",
9323,AA,"Ayres & Ayres, Architects records",
9324,AA,"Ayres & Ayres, Architects records",
9325,AA,"Ayres & Ayres, Architects records",
9326,AA,"Ayres & Ayres, Architects records",
9327,AA,"Ayres & Ayres, Architects records",
9328,AA,"Ayres & Ayres, Architects records",
9329,AA,"Ayres & Ayres, Architects records",architectural/measured
9330,AA,"Ayres & Ayres, Architects records",
9331,AA,"Ayres & Ayres, Architects records",
9332,AA,"Ayres & Ayres, Architects records",
9333,AA,"Ayres & Ayres, Architects records",
9334,AA,"Ayres & Ayres, Architects records",
9335,AA,"Ayres & Ayres, Architects records",
9336,AA,"Ayres & Ayres, Architects records",
9337,AA,"Ayres & Ayres, Architects records",
9338,AA,"Ayres & Ayres, Architects records",
9339,AA,"Ayres & Ayres, Architects records",
9340,AA,"Ayres & Ayres, Architects records",
9341,AA,"Ayres & Ayres, Architects records",
9342,AA,"Ayres & Ayres, Architects records",
9343,AA,"Ayres & Ayres, Architects records",
9344,AA,"Ayres & Ayres, Architects records",
9345,AA,"Ayres & Ayres, Architects records","architectural/measured
structural
includes interiors"
9346,AA,"Ayres & Ayres, Architects records",
9347,AA,"Ayres & Ayres, Architects records",architectural/measured
9348,AA,"Ayres & Ayres, Architects records",
9349,AA,"Ayres & Ayres, Architects records",
9350,AA,"Ayres & Ayres, Architects records",
9351,AA,"Ayres & Ayres, Architects records",
9352,AA,"Ayres & Ayres, Architects records",
9353,AA,"Ayres & Ayres, Architects records",
9354,AA,"Ayres & Ayres, Architects records",
9355,AA,"Ayres & Ayres, Architects records",
9356,AA,"Ayres & Ayres, Architects records",
9357,AA,"Ayres & Ayres, Architects records",
9358,AA,"Ayres & Ayres, Architects records",
9359,AA,"Ayres & Ayres, Architects records",
9360,AA,"Ayres & Ayres, Architects records",
9361,AA,"Ayres & Ayres, Architects records",
