unique ID,coll code,Collection,Project name,Project number,Street address,City,County,State/Province,Country,FAST Geographic,Primary archt/firm,Collaborators:,Client,Contributor notes,Notes,Number of items,AAA box #,AAA folder #,AAA roll #,Date on drawings,Date normalized,Media,Material types:,Set type,Processor,Processing completion date,Entry date:,Rev. date:,Pres. notes:,treatment completed A,treatment completed B,treatment completed C,treatment completed D,treatment completed E,Accession #,Holding institution:
9628,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Company Office Building. First floor. Remodeling.,,201 North St. Mary’s St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Atlee B. Ayres and Robert M. Ayres | architects,,San Antonio Public Service Company,,"Date is questionable194?  
Later called the Petroleum Commerce Building.",,,AAf177.5,,1940,1940,pencil on trace,undetermined,"design
structural
includes interiors",,,,,,,,,,,1.979E+23,
9629,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Company Office Building. First floor. Remodeling.,,201 North St. Mary’s St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Atlee B. Ayres and Robert M. Ayres | architects,,San Antonio Public Service Company,,"Later called the Petroleum Commerce Building.  Includes:  sign, check box, doors, cashier’s cage.",,,AAf177.4,,1942,1942,pencil on trace,"job files
specifications
drawings","design
structural
industrial design",,,,,,,,,,,1.979E+11,
9630,AA,"Ayres & Ayres, Architects records",San Antonio Public Service Company Office Building. Miscellaneous.,,201 North St. Mary’s St,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Atlee B. Ayres and Robert M. Ayres | architects,,San Antonio Public Service Company,,"Later called the Petroleum Commerce Building.  These are drawings that could not be attributed to a particular project date.  Includes:  ticket booth, new wall, and 1st floor duct work.",,,AAf177.6,,undated,undated,pencil on trace,undetermined,"design
structural",,,,,,,,,,,1.979E+23,
9631,AA,"Ayres & Ayres, Architects records",San Antonio State Hospital for Mental Tuberculosis Patients. Recieving and treatment buildings.,,,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,Matthews & Kenan | structural engineer; Martin Staley | mechanical engineer; Halsey & Royer | electrical engineer,San Antonio State Hospital for Mental Tuberculosis Patients,,roll AA137 has the tag labeled AA folder 421 attached to the roll - there is no folder,66,,AAf421 ,AAr137,1951-1952,1951-1952,"paper
sepias (use barrier sheets)
photostats
trace paper",drawings,"architectural/measured
structural
mechanical/plumbing/HVAC
electrical
site/landscape ",nls,,Thu Aug 23 00:00:00 CDT 2007,,,,,,,,,
9632,AA,"Ayres & Ayres, Architects records",San Antonio Transit Company Complex. Maintenance shop and service buildings.,,North Flores at Evergreen,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Transit Company,Contributor/Architect inferred by cataloger,,,,AAf397,AAr124-AAr125,1946-1948,1946-1948,,,,,,,,,,,,,,,
9633,AA,"Ayres & Ayres, Architects records",San Antonio Transit Company Complex. Maintenance shop and service buildings.,,North Flores at Evergreen,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Transit Company,Contributor/Architect inferred by cataloger,,,,AAf397,AAr124-AAr125,1965-1966,1965-1966,,,,,,,,,,,,,,,
9634,AA,"Ayres & Ayres, Architects records","San Antonio Water Board warehouse, shops and storage.",,Nevada at South Walnut Sts,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Water Board,Contributor/Architect inferred by cataloger,,,,AAf398,AAr126,1948-1949,1948-1949,,,,,,,,,,,,,,,
9635,AA,"Ayres & Ayres, Architects records","San Antonio Water Board warehouse, shops and storage.",,Nevada at South Walnut Sts,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Water Board,Contributor/Architect inferred by cataloger,,,,AAf398,AAr126,1954,1954,,,,,,,,,,,,,,,
9636,AA,"Ayres & Ayres, Architects records",San Antonio Zoological Society Aquarium.,,,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,San Antonio Zoological Society,Contributor/Architect inferred by cataloger,,,,AAf191,,1946-1947,1946-1947,,,,,,,,,,,,,,,
9637,AA,"Ayres & Ayres, Architects records",San Francisco Theatre Guild,,Geary Street,San Francisco,,California,,,Ayres and Ayres | architects,Rob Morris,,,Date: 12/8/54.,2,,AAf437.1,,1954,1954,prints (ex. bluelines),,,hr,,Mon Mar 13 00:00:00 CST 2006,,,,,,,,,
